,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Greb1l,11.9702702453083,0.758694068397056,0.876792297340862,0.865306493565267,0.386870587678596,NA
Sub1,10283.9255122435,0.0316970316935781,0.105794617664068,0.299609114276742,0.764475331201223,0.999204715898375
Trmt12,94.7793884808335,0.723748030911228,0.30278027248741,2.39034077407181,0.0168327462525729,0.44297635673919
Map3k5,281.261970445325,-0.0375418849944673,0.16991808339634,-0.220941080808329,0.825138309869389,0.99976360228866
Copa,3648.10174286735,0.107150410917848,0.113867752689081,0.941007514308504,0.346701008409448,0.990873179236943
P4hb,3789.68596290227,-0.143514980012123,0.13510259760422,-1.06226662223436,0.288114662525712,0.977174125752846
Surf2,519.195250049236,0.15727841368688,0.124392228777109,1.26437491500131,0.206095492135086,0.909868940887271
Spock2,6.1555025729918,0.399706215767918,0.878342863932272,0.455068552590573,0.649059921199794,NA
Klhl26,162.524987983376,-0.295806923780921,0.216743963614302,-1.36477583434486,0.172323516309814,0.883668367396163
Chdh,3.29647500041339,2.56274244846068,1.63167656012476,1.57061914786882,0.116271139581881,NA
Lrsam1,52.2271914202156,0.155916907509929,0.371102187501896,0.420145482190488,0.674379178516314,0.997781340337504
Ints7,1223.6546505645,-0.00913112659472593,0.112895355612794,-0.0808813307258065,0.935536327238002,0.99976360228866
Trp53bp2,383.43303702244,0.053026636763355,0.147721678047814,0.358963135703019,0.719622667272191,0.997781340337504
Kazald1,8.47930790332375,-0.0921428782896675,0.792477741335997,-0.116271881825133,0.907437069494336,NA
Irf9,1782.5421524264,0.0376435261577444,0.11214447542437,0.335669911650095,0.737119797642112,0.997781340337504
Septin6,3821.06987490287,0.131815801097501,0.104332338082802,1.26342228612654,0.206437459132335,0.910000628280494
Ttc37,352.633591781467,0.134449494524428,0.169409509237027,0.79363605461081,0.427407336535391,0.997781340337504
Snrpe,2465.74123061081,0.0680172259666001,0.111652231613609,0.609188235502405,0.542399677303063,0.997781340337504
Snrpd1,1543.54915826496,0.0305170336861216,0.11208066623485,0.272277411540159,0.785408723314569,0.99976360228866
Snrpb,4493.11897715938,-0.258347057892552,0.122264670351614,-2.11301479936589,0.0345995012092584,0.5718951022435
Fam214a,375.088990138635,0.246831723730512,0.163922926902813,1.50577913897824,0.132123880267038,0.831382749004705
Gm11110,59.6988280875124,-0.120991991575818,0.344492364535957,-0.351218209839856,0.72542464978573,0.997781340337504
Zcchc10,332.218836659967,0.372738091279544,0.160912850536387,2.31639729230487,0.0205365864643654,0.46817035534548
Kras,1478.28268962282,0.027758374459958,0.143146108734835,0.193916374711783,0.846241361901221,0.99976360228866
Sugt1,2177.71468816211,-0.0495876939810332,0.107135539032751,-0.462850090910304,0.643471823794458,0.997781340337504
Il17rc,6.79338716744208,-1.78464315075746,1.0073068642779,-1.77169759687561,0.0764447687971308,NA
Dgkq,172.825551039688,-0.248013210297932,0.254314435721576,-0.975222698602363,0.3294498051069,0.987296102245136
Abcf1,2017.63355839959,0.0994206429309861,0.093387670844272,1.0646013765219,0.287056356652282,0.97689598860083
Gm16907,134.425017377155,0.122792152470785,0.27441846512314,0.447463156007683,0.654540684416796,0.997781340337504
Gm10390,6.77121469533001,-0.245890984335378,0.791418199109414,-0.310696651419035,0.756031243140633,NA
Lta,314.876046082268,-0.409839189525685,0.182564021295238,-2.24490667228951,0.0247741245205649,0.496497316707681
Lst1,47.6069095071648,0.206495985215114,0.304754032395544,0.677582454256422,0.498036474005376,0.997781340337504
Anxa1,24.8685104997961,0.534183497698538,0.496111992007898,1.07673974083262,0.281596552802726,NA
Kcnk1,4.16715747717411,-0.0716279560608067,1.40860756163532,-0.050850185680993,0.959444900183858,NA
Tspyl1,1884.32295259589,0.0523647031148902,0.114674639597885,0.456637171902268,0.647931856552045,0.997781340337504
Foxl1,1.72292634299876,-0.801405048891368,1.49961875712037,-0.534405858213098,0.593060766792668,NA
Thap7,528.875052417715,0.0962110701047864,0.147276008421885,0.653270489441713,0.513581913851202,0.997781340337504
B3gnt3,24.0659248411778,-0.195567465010101,0.483176619351697,-0.404753577009798,0.685658655538583,NA
Cd86,59.8923938227084,0.303467108522245,0.324330084557142,0.93567363304152,0.349441250184089,0.991186195007051
Hsd17b12,1200.12961610388,0.00472006394598354,0.119056385136346,0.0396456178354317,0.96837565823425,0.99976360228866
Taf13,649.055921030985,-0.0874374691358939,0.123001533172569,-0.710864872011156,0.477167975956466,0.997781340337504
Pno1,618.875016629526,0.162258379327833,0.151082835074651,1.07396964881987,0.282836284985629,0.976093681723865
Farp1,35.5612570084434,0.488770425636762,0.394561511446215,1.23876863672089,0.215431191875513,0.926426242157988
Gng3,11.3822383605383,-0.79145983164764,0.689575317370963,-1.14774965360581,0.25107192670963,NA
Zfp52,449.539824630113,0.165074892942751,0.129651167743035,1.27322334087977,0.202938800274514,0.904746752959456
Dync1h1,2065.89632354387,0.0752585298191728,0.116790339526292,0.644390025103322,0.519322551193156,0.997781340337504
Zfp101,228.518105317862,0.0647236451567034,0.159874377405766,0.404840639300398,0.685594654318686,0.997781340337504
Mtx1,783.144275865487,-0.399878070287015,0.169310861807793,-2.36179809149498,0.0181865442328249,0.456186844296976
Lysmd2,57.7270945628647,-0.518488338089371,0.361352830841673,-1.4348534004333,0.15132887711347,0.861511113198398
Glmp,1978.93774534559,0.0766338832553855,0.117182640877685,0.653969586974711,0.51313139977459,0.997781340337504
Rec8,3.08041520015339,1.06195579175521,1.58695929157277,0.669176454238313,0.503382924235004,NA
Nr1h2,1193.81384939127,-0.213594704955366,0.130170911368795,-1.64087892378826,0.100822550858484,0.77674509158877
Pmvk,273.049959864724,-0.0851551516833062,0.183835968097116,-0.463212681200235,0.643211927384141,0.997781340337504
Nat9,93.43124153744,0.116419688168621,0.270991754998338,0.429606015759909,0.667482260314258,0.997781340337504
R3hdm1,1094.02340600672,0.0785714147719188,0.123702421681147,0.635164725994152,0.525320986306464,0.997781340337504
Mir7078,2.85629832622176,-1.81962747736301,1.38611581015826,-1.31275284794223,0.189266243309869,NA
Pgrmc1,593.917612003073,-0.17519550264528,0.154910880916064,-1.130943814981,0.258078740177401,0.965966888638041
Fam111a,426.961786640953,0.224093918906711,0.159386688212324,1.40597637996085,0.159731138733476,0.871074660792215
Tspo,3000.05523233728,-0.137725274316381,0.10301966574831,-1.33688333500189,0.18126072138688,0.88887486450293
Zfp512b,1316.71475466568,-0.0653027246594122,0.154580850885379,-0.422450285953167,0.672696380238939,0.997781340337504
9930111J21Rik1,1083.64375474426,0.173344994937161,0.150820908880503,1.14934325899404,0.250414467010561,0.960369390220958
Eif1ad,1083.5507987868,0.218688880628949,0.122152879049668,1.79028838558958,0.0734075624317477,0.724049755840511
4930552P12Rik,9.21256390750614,0.778832087342246,0.888284194068291,0.876782557365159,0.380604754943258,NA
Ampd2,404.350138151663,-0.25951030201163,0.153014118480733,-1.69598926287515,0.0898879134786053,0.756318497364531
